书名,评分
UNIX网络编程 卷1：套接字联网API（第3版）,9.3,https://book.douban.com/subject/4859464/
啊哈编程星球：一本书入门Python和C++,9.3,https://book.douban.com/subject/34825670/
MongoDB权威指南（第2版）,9.1,https://book.douban.com/subject/25798102/
图解密码技术（第3版）,9.0,https://book.douban.com/subject/26822106/
Windows黑客编程技术详解,9.2,https://book.douban.com/subject/30434801/
微信公众平台应用开发实战,9.0,https://book.douban.com/subject/25716213/
从问题到程序-用Python学编程和计算,9.1,https://book.douban.com/subject/27076220/
MongoDB in Action,9.0,https://book.douban.com/subject/26723983/
深入浅出Vue.js,9.8,https://book.douban.com/subject/32581281/
Kubernetes Best Practices,9.2,https://book.douban.com/subject/34432831/
程序语言的奥妙,9.4,https://book.douban.com/subject/10798975/
Programming From The Ground Up,9.3,https://book.douban.com/subject/1787855/
算法：C语言实现,9.0,https://book.douban.com/subject/4065258/
ASP.NET 3.5从入门到精通,9.2,https://book.douban.com/subject/4253683/
一路编程,9.0,https://book.douban.com/subject/26937425/
SQL基础教程,9.0,https://book.douban.com/subject/24841239/
嵌入式系统开发之道,9.0,https://book.douban.com/subject/6989995/
计算几何,9.5,https://book.douban.com/subject/3893574/
C++Templates中文版,9.6,https://book.douban.com/subject/2378124/
同构JavaScript应用开发,9.1,https://book.douban.com/subject/27183584/
Learning Rust,9.2,https://book.douban.com/subject/32041441/
UNIX环境高级编程,9.7,https://book.douban.com/subject/1092099/
现代电视原理,9.3,https://book.douban.com/subject/3181097/
汇编语言,9.3,https://book.douban.com/subject/1215178/
视觉SLAM十四讲,9.4,https://book.douban.com/subject/27028215/
3D游戏编程大师技巧,9.0,https://book.douban.com/subject/1321769/
Learn You a Haskell for Great Good!,9.1,https://book.douban.com/subject/4934481/
R for Data Science,9.4,https://book.douban.com/subject/26757974/
Advanced Compiler Design and Implementation,9.2,https://book.douban.com/subject/1821532/
The Little Typer,9.6,https://book.douban.com/subject/30247790/
UML Distilled,9.0,https://book.douban.com/subject/1460848/
"Programming in Scala, Third Edition",9.4,https://book.douban.com/subject/26790779/
C++ Primer,9.3,https://book.douban.com/subject/10505113/
Java Persistence with Hibernate,9.5,https://book.douban.com/subject/1854431/
Kubernetes Patterns,9.8,https://book.douban.com/subject/33393680/
PC游戏编程,9.5,https://book.douban.com/subject/1231902/
"Kubernetes: Up and Running, 2nd Edition",9.1,https://book.douban.com/subject/33393703/
通关！游戏设计之道（第二版）,9.0,https://book.douban.com/subject/26905728/
C语言程序设计,9.3,https://book.douban.com/subject/26987649/
Linkers and Loaders,9.1,https://book.douban.com/subject/1436811/
